+---------------------------+--------+--------------------------------------+
|       Professor Name      | Rating |               Subject                |
+---------------------------+--------+--------------------------------------+
|        Kyle   Bates       |  3.8   |             Engineering              |
|       Marc   Hauser       |  4.2   |              Psychology              |
|      Melissa   Barry      |  3.8   |              Philosophy              |
|       Gerald   Sacks      |  3.9   |             Mathematics              |
|     Warren   Goldfarb     |  4.5   |              Philosophy              |
|     Alan   Dershowitz     |  3.4   |                 Law                  |
|     Kathleen   Coleman    |  4.6   |              Languages               |
|        Rob   Austin       |  4.6   |               Business               |
|        Anne Monius        |  4.4   |               Theology               |
|      Catherine Corman     |  3.9   |               History                |
|       Charles Ducey       |  2.3   |              Education               |
|      Marjorie Garber      |  3.4   |               English                |
|      Maryellen Ruvolo     |  3.5   |               Biology                |
|       Lawrence Buell      |  3.4   |               English                |
|       David Carrasco      |  4.9   |               Theology               |
|    Christine Korsgaard    |  3.6   |              Philosophy              |
|       Daniel Fisher       |  1.6   |               Physics                |
|       Elaine Scarry       |  3.4   |               English                |
|        Kath Weston        |  3.8   |           Women's Studies            |
|        Leo Damrosch       |  4.6   |               English                |
|       Cynthia Friend      |  2.3   |              Chemistry               |
|      Harvey Mansfield     |  4.4   |          Political Science           |
|       Helen Vendler       |  4.2   |               English                |
|     Stephen Greenblatt    |  3.2   |               English                |
|     Sacvan Bercovitch     |  4.5   |               English                |
|        Homi K Bhaba       |  2.4   |               English                |
|      Daniel Donoghue      |  4.7   |               English                |
|         Ed Glaeser        |  2.5   |              Economics               |
|       Gordon Teskey       |  4.4   |               English                |
|       Glenda Carpio       |  5.0   |               English                |
|      Charles Henebry      |  2.8   |               Writing                |
|       Eric Jacobsen       |  4.9   |              Chemistry               |
|      Daniel Sturgeon      |  5.0   |             Anthropology             |
|       Richard Moran       |  3.5   |              Philosophy              |
|         Sue Schopf        |  3.9   |               English                |
|         Sunney Xie        |  2.3   |              Chemistry               |
|        Harry Lewis        |  2.8   |           Computer Science           |
|        Jan Feldman        |  3.6   |          Political Science           |
|      Ellsworth Fersch     |  4.5   |              Psychology              |
|      Steven Levitsky      |  4.7   |          Political Science           |
|    Emmanuel Akyeampong    |  3.8   |               History                |
|       Theo Theoharis      |  4.6   |              Humanities              |
|        Gregory Nagy       |  4.3   |               Classics               |
|       Suzanne Young       |  2.5   |              Chemistry               |
|      Michael Chisick      |  0.0   |               History                |
|        John Lenger        |  3.9   |              Journalism              |
|         Meg Jacobs        |  0.0   |               History                |
|        Brian Little       |  5.0   |              Psychology              |
|        David Brody        |  0.0   |              Economics               |
|     Christopher Krebs     |  3.8   |               Classics               |
|        Allan Brandt       |  3.8   |               Medicine               |
|         David Long        |  0.0   |               English                |
|        Jeanne Chall       |  2.0   |              Psychology              |
|        Jamil Mahuad       |  2.3   |                 Law                  |
