+-----------------------------+--------+----------------------------------------+
|        Professor Name       | Rating |                Subject                 |
+-----------------------------+--------+----------------------------------------+
|        Jim   Greenlee       |  3.3   |            Computer Science            |
|        Randy   Engle        |  4.5   |               Psychology               |
|         Jack   Marr         |  2.6   |               Psychology               |
|      Phillip   Ackerman     |  3.5   |               Psychology               |
|        Ron   Broglio        |  3.9   |                English                 |
|        Peter   Brecke       |  3.5   |           Political Science            |
|      Carol   Colatrella     |  3.9   |                English                 |
|         Jay   Bolter        |  3.8   |               Literature               |
|        Jeff Geronimo        |  2.4   |              Mathematics               |
|       Johan Belinfante      |  1.8   |              Mathematics               |
|         George Riley        |  4.7   |              Engineering               |
|         Terry Snell         |  4.1   |                Biology                 |
|         Ron Mendola         |  4.7   |                 Music                  |
|          Ahmet Uzer         |  4.5   |                Science                 |
|          Al Merrill         |  4.0   |                Science                 |
|       Charles Parsons       |  3.0   |                Business                |
|       Jonathan Clarke       |  4.3   |                Business                |
|      Carlos Santamarina     |  3.9   |              Engineering               |
|        William Koros        |  5.0   |          Chemical Engineering          |
|        Mustaq Ahamad        |  2.5   |            Computer Science            |
|         Kurt Pennell        |  4.8   |              Engineering               |
|        Peter Vantine        |  3.5   |               Marketing                |
|        Chris Paredis        |  3.0   |              Engineering               |
|         Colin Potts         |  4.3   |            Computer Science            |
|        Michael Evans        |  3.6   |              Mathematics               |
|        Andrei Fedorov       |  4.4   |              Engineering               |
|          Yang Wang          |  4.2   |              Mathematics               |
|       Lawrence Foster       |  4.1   |                History                 |
|          Yingfei Yi         |  2.3   |              Mathematics               |
|        Robert Burgess       |  4.6   |                Business                |
|       Michael Laughter      |  2.3   |                English                 |
|         Jack Feldman        |  2.8   |               Psychology               |
|         Charles Ume         |  1.4   |              Engineering               |
|        Robert Whetten       |  1.7   |                Physics                 |
|        William Baron        |  4.6   |               Chemistry                |
|      Alexei Marchenkov      |  4.5   |                Physics                 |
|          Parks Dodd         |  2.2   |               Economics                |
|       Vicki Birchfield      |  2.7   |           Political Science            |
|         Ahmet Erbil         |  4.0   |                Physics                 |
|        Michael Schatz       |  3.5   |                Physics                 |
|        Britta Kallin        |  3.8   |               Languages                |
|       Bettina Cothran       |  3.0   |               Languages                |
|        Richard Barke        |  3.9   |           Political Science            |
|       Yucel Altunbasak      |  3.6   |              Engineering               |
|     Spyros Pavlostathis     |  3.6   |              Engineering               |
|         Jerry Ulrich        |  4.8   |                 Music                  |
|        Vijay Vazirani       |  4.8   |            Computer Science            |
|          Liang Peng         |  2.2   |              Mathematics               |
|         Brent Carter        |  2.6   |              Engineering               |
|         Xiaoming Huo        |  2.3   |              Engineering               |
|         Vivek Ghosal        |  3.1   |               Economics                |
|         Robin Thomas        |  3.6   |              Mathematics               |
|          John Wood          |  4.6   |                Physics                 |
|         Mark McCabe         |  0.0   |               Economics                |
|        Linda Rosskopf       |  3.4   |             Health Science             |
|       Jean Bellissard       |  2.0   |                Physics                 |
|       Gordon Kingsley       |  5.0   |             Public Policy              |
|          Tom Morley         |  2.3   |              Mathematics               |
|          John Tone          |  4.6   |                History                 |
|           Soy Chen          |  0.0   |                Science                 |
|         Kurt Eiselt         |  0.0   |            Computer Science            |
|          Greg Huey          |  3.5   |                Science                 |
|       Laura McPheters       |  0.0   |         Electrical Engineering         |
|        Milena Mihail        |  4.8   |            Computer Science            |
|         Edward Keene        |  4.4   |         International Studies          |
|        Michele Kliem        |  3.3   |             Health Science             |
|         Jim St John         |  2.6   |                Science                 |
|     Christina Bourgeois     |  3.5   |              Engineering               |
|       Rina Tannenbaum       |  2.6   |         Materials Engineering          |
|         Aaron Bobick        |  4.0   |            Computer Science            |
|         Nathan Geer         |  3.0   |              Mathematics               |
|        Kent Barefield       |  3.5   |               Chemistry                |
|       Jonathan Schneer      |  4.8   |                History                 |
|       J Todd Streelman      |  4.0   |                Biology                 |
|          John Zhang         |  3.0   |                Science                 |
|       Christoph Fahrni      |  3.4   |               Chemistry                |
|         Uzi Landman         |  0.0   |                Physics                 |
|        Alfred Andrew        |  3.0   |              Mathematics               |
|        Jim McClellan        |  3.6   |              Engineering               |
|         David Keezer        |  2.8   |         Electrical Engineering         |
|        Gregory Nobles       |  4.6   |                History                 |
|       Michael Stewart       |  4.5   |         Mechanical Engineering         |
|          Jud Ready          |  3.2   |         Materials Engineering          |
|     Christel Hohenegger     |  4.8   |              Mathematics               |
|          James Gole         |  2.5   |                Physics                 |
|          Ashok Goel         |  4.4   |            Computer Science            |
|         Khai Truong         |  4.5   |            Computer Science            |
|         Alka Citrin         |  3.1   |               Management               |
|        Donovan Young        |  0.0   |         Industrial Engineering         |
|         Wade Chumney        |  4.6   |                Business                |
|         Elaine Huang        |  0.0   |            Computer Science            |
|       Massimo Ruzzene       |  3.8   |           Aerospace Studies            |
|       Mostafa ElSayed       |  2.9   |               Chemistry                |
|        JeanLuc Bredas       |  3.3   |               Chemistry                |
|        Gillian Hayes        |  0.0   |            Computer Science            |
|         Dewey Hodges        |  2.4   |              Engineering               |
|       William Trotter       |  4.3   |              Mathematics               |
|      Tyanna Herrington      |  2.9   |                English                 |
|      Melissa Stevenson      |  4.5   |                English                 |
|         Stuart Milne        |  4.0   |               Management               |
|        Yih Long Chang       |  3.3   |               Management               |
|         David Orloff        |  3.3   |         Mechanical Engineering         |
|     Garoufalidis Stavros    |  2.2   |              Mathematics               |
|        Loren Williams       |  3.4   |               Chemistry                |
|         Tom Sanders         |  2.5   |              Engineering               |
|      Narayanan Komerath     |  1.5   |         Aerospace Engineering          |
|        HsienHsin Lee        |  4.3   |         Electrical Engineering         |
|         Richard Neu         |  4.2   |         Mechanical Engineering         |
|          David Tan          |  4.5   |             Earth Science              |
|        Jennie Lincoln       |  2.2   |          Internation Service           |
|       Bridget Heneghan      |  4.5   |                English                 |
|        David Anderson       |  3.7   |         Electrical Engineering         |
|         Turkay Yolcu        |  4.1   |              Mathematics               |
|        Gunter Meyers        |  1.0   |              Mathematics               |
|         Jon Sanford         |  1.0   |              Architecture              |
|       Angelika Oswalt       |  4.4   |                 German                 |
